insert|11426|2022-10-10|2022-10-17|2022-10-13|In Process|Customer requested to be carful|323
insert|11426|2022-10-10|2022-10-17|2022-10-13|In Process|Customer requested to be carful|323
insert|11427|2022-10-10|2022-10-17|2022-10-13|Shipped|Customer requested to be carful|144
insert|11427|2022-10-10|2022-10-17|2022-10-13|Shipped|Customer requested to be carful|144
insert|11428|2022-10-10|2022-10-17|2022-10-13|Shipped|Sensitive Product|233
insert|11428|2022-10-10|2022-10-17|2022-10-13|Shipped|Sensitive Product|233
insert|11429|2022-10-10|2022-10-17|2022-10-13|Cancelled|Sensitive Product|278
insert|11429|2022-10-10|2022-10-17|2022-10-13|Cancelled|Sensitive Product|278
insert|11430|2022-10-10|2022-10-17|2022-10-13|Cancelled|Customer requested to be carful|415
insert|11430|2022-10-10|2022-10-17|2022-10-13|Cancelled|Customer requested to be carful|415
insert|11431|2022-10-10|2022-10-17|2022-10-13|Shipped|No Comments|119
insert|11431|2022-10-10|2022-10-17|2022-10-13|Shipped|No Comments|119
insert|11432|2022-10-10|2022-10-17|2022-10-13|Disputed||146
insert|11432|2022-10-10|2022-10-17|2022-10-13|Disputed||146
insert|11433|2022-10-10|2022-10-17|2022-10-13|In Process|Leave product by the door|398
insert|11433|2022-10-10|2022-10-17|2022-10-13|In Process|Leave product by the door|398
insert|11434|2022-10-10|2022-10-17|2022-10-13|Shipped|Sensitive Product|480
insert|11434|2022-10-10|2022-10-17|2022-10-13|Shipped|Sensitive Product|480
insert|11435|2022-10-10|2022-10-17|2022-10-13|On Hold|Sensitive Product|247
insert|11435|2022-10-10|2022-10-17|2022-10-13|On Hold|Sensitive Product|247
insert|11436|2022-10-10|2022-10-17|2022-10-13|On Hold|Dog in the front yard|259
insert|11436|2022-10-10|2022-10-17|2022-10-13|On Hold|Dog in the front yard|259
insert|11437|2022-10-10|2022-10-17|2022-10-13|Shipped|Leave product by the door|189
insert|11437|2022-10-10|2022-10-17|2022-10-13|Shipped|Leave product by the door|189
insert|11438|2022-10-10|2022-10-17|2022-10-13|Shipped|Sensitive Product|415
insert|11438|2022-10-10|2022-10-17|2022-10-13|Shipped|Sensitive Product|415
insert|11439|2022-10-10|2022-10-17|2022-10-13|On Hold|Customer requested to be carful|276
insert|11439|2022-10-10|2022-10-17|2022-10-13|On Hold|Customer requested to be carful|276
insert|11440|2022-10-10|2022-10-17|2022-10-13|Cancelled|Customer requested to be carful|487
insert|11440|2022-10-10|2022-10-17|2022-10-13|Cancelled|Customer requested to be carful|487
insert|11441|2022-10-10|2022-10-17|2022-10-13|In Process||487
insert|11441|2022-10-10|2022-10-17|2022-10-13|In Process||487
insert|11442|2022-10-10|2022-10-17|2022-10-13|Shipped|Sensitive Product|321
insert|11442|2022-10-10|2022-10-17|2022-10-13|Shipped|Sensitive Product|321
insert|11443|2022-10-10|2022-10-17|2022-10-13|Cancelled|No Comments|385
insert|11443|2022-10-10|2022-10-17|2022-10-13|Cancelled|No Comments|385
insert|11444|2022-10-10|2022-10-17|2022-10-13|On Hold||128
insert|11444|2022-10-10|2022-10-17|2022-10-13|On Hold||128
insert|11445|2022-10-10|2022-10-17|2022-10-13|Shipped|Leave product by the door|131
insert|11445|2022-10-10|2022-10-17|2022-10-13|Shipped|Leave product by the door|131
insert|11446|2022-10-10|2022-10-17|2022-10-13|On Hold|Sensitive Product|233
